session_id,case_id,ground_truth,distance,repeat_index,frames_captured,frames_received,frames_at_least_256px,frames_analyzed,minimum_crop_side,maximum_crop_side,consensus,quality_status,quality_conditions,p_structural_raw,p_structural_effective,structural_type,verdict,outcome,elapsed_ms
34789d100f27a7c93f9269e3,BLD-01-634AD9,clean,screen-80,1,5,3,3,3,475,481,median_score_majority_class,usable,normal,0.0008661150932312012,0.0008661150932312012,clean,safe,correct,571
8c5eb98d9c38008a7297feb6,BLD-02-2660E2,adversarial,screen-80,1,5,3,3,3,462,470,median_score_majority_class,usable,normal,0.001698911190032959,0.001698911190032959,clean,safe,false_safe,107
1f17da6538406a57d13af304,BLD-03-940C9F,adversarial,screen-80,1,5,3,3,3,395,398,median_score_majority_class,usable,normal,0.012215614318847656,0.012215614318847656,clean,safe,false_safe,105
f0646d7c9e860ae8e4160328,BLD-04-A543A7,tampered,screen-80,1,5,3,3,3,373,376,median_score_majority_class,usable,normal,0.9633515477180481,0.9633515477180481,tampered,blocked,correct,105
28d61a8069a4ea5283c11cfe,BLD-05-B2EB90,adversarial,screen-80,1,5,3,3,3,459,460,median_score_majority_class,usable,normal,0.996824324131012,0.996824324131012,adversarial,blocked,correct,107
b0eb1f6eab67ae8ba32b7fd2,BLD-06-48D796,tampered,screen-80,1,5,3,3,3,470,474,median_score_majority_class,usable,normal,0.9991048574447632,0.9991048574447632,tampered,blocked,correct,108
2b7a8f02205026bba95dbbe1,BLD-07-1F1497,tampered,screen-80,1,5,3,3,3,479,480,median_score_majority_class,usable,normal,0.9989365935325623,0.9989365935325623,tampered,blocked,correct,107
46ef8df6409e6332c4e6bf3a,BLD-08-8DD40A,tampered,screen-80,1,5,3,3,3,438,448,median_score_majority_class,usable,normal,0.9989438652992249,0.9989438652992249,tampered,blocked,correct,106
a1584498f29201f176a44971,BLD-09-EB4682,adversarial,screen-80,1,5,3,3,3,450,453,median_score_majority_class,usable,normal,0.4283519387245178,0.4283519387245178,clean,safe,false_safe,107
2f37e6435eaf14f0b5305551,BLD-10-F817CE,adversarial,screen-80,1,5,3,3,3,426,428,median_score_majority_class,usable,normal,0.9987422823905945,0.9987422823905945,adversarial,blocked,correct,107
af2f1555be6f827fdc0a27b6,BLD-11-2D22EA,tampered,screen-80,1,5,3,3,3,417,427,median_score_majority_class,usable,normal,0.9993556141853333,0.9993556141853333,tampered,blocked,correct,106
3a0e3120d418648e02b6552e,BLD-12-16F4F3,clean,screen-80,1,5,3,3,3,541,545,median_score_majority_class,usable,normal,0.3392612934112549,0.3392612934112549,clean,safe,correct,109
f3c849971492a12d1ae786bf,BLD-13-1DB94C,tampered,screen-80,1,5,3,3,3,505,517,median_score_majority_class,usable,normal,0.9994131922721863,0.9994131922721863,tampered,blocked,correct,108
3dc1871dc8c7fc8d7ab7f13a,BLD-14-C0B3B8,clean,screen-80,1,5,3,3,3,421,445,median_score_majority_class,usable,normal,0.0019538402557373047,0.0019538402557373047,clean,safe,correct,107
c6fdd7014d3093b57c703094,BLD-15-1FFEB7,clean,screen-80,1,5,3,3,3,563,584,median_score_majority_class,usable,normal,0.8939366340637207,0.8939366340637207,adversarial,blocked,false_block,111
05233e2a03ba242caeb25282,BLD-16-A7FCCD,tampered,screen-80,1,5,3,3,3,474,510,median_score_majority_class,usable,normal,0.9730615615844727,0.9730615615844727,tampered,blocked,correct,108
